#  index  lambda  kappa  tanbeta   mu/GeV  Alam/GeV  Akap/GeV  DeltaLambda2  M1  M2  mh125/GeV  mH/GeV  mhS/GeV  C_h125^SM  C_h125^NSM  C_h125^S  C_H^SM  C_H^NSM  C_H^S  C_hS^SM  C_hS^NSM  C_hS^S  
94  6.393842E-01  -6.393842E-02  3.000000E+00  4.640463E+02  1.639630E+03  3.624735E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249283E+02  1.570151E+03  9.029551E+01  9.999859E-01  6.854637E-05  -5.317928E-03  2.296809E-04  9.984274E-01  5.605872E-02  -5.313408E-03  5.605915E-02  -9.984133E-01  
39  6.393842E-01  -6.393842E-02  3.000000E+00  3.689937E+02  1.303778E+03  1.268028E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250210E+02  1.248264E+03  1.152812E+02  9.998495E-01  8.649498E-04  -1.732702E-02  3.656595E-04  9.974838E-01  7.089380E-02  -1.734474E-02  7.088946E-02  -9.973334E-01  
32  6.393842E-01  -6.393842E-02  3.000000E+00  -3.594864E+02  -1.270185E+03  -1.010932E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250133E+02  1.219251E+03  1.175892E+02  9.998647E-01  9.192331E-04  1.642112E-02  -2.725512E-04  -9.973737E-01  7.242705E-02  -1.644457E-02  7.242173E-02  9.972385E-01  
46  6.393842E-01  -6.393842E-02  3.000000E+00  1.449951E+02  5.123160E+02  1.089120E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250139E+02  4.942251E+02  7.393817E+01  -9.999684E-01  5.275509E-04  7.933483E-03  -1.956055E-03  -9.834530E-01  -1.811527E-01  7.706641E-03  -1.811625E-01  9.834230E-01  
74  6.393842E-01  -6.393842E-02  3.000000E+00  3.909080E+02  1.381208E+03  9.263374E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249239E+02  1.321841E+03  1.254727E+02  9.492486E-01  -2.136851E-02  3.138001E-01  3.184780E-04  9.977543E-01  6.697962E-02  3.145266E-01  6.348037E-02  -9.471237E-01  
62  6.393842E-01  -6.393842E-02  3.000000E+00  -4.172325E+02  -1.474222E+03  -1.122740E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250187E+02  1.415357E+03  1.300419E+02  9.998094E-01  -1.434710E-03  -1.947232E-02  -2.174887E-04  -9.980531E-01  6.236902E-02  1.952389E-02  6.235290E-02  9.978632E-01  
5  6.393842E-01  -6.393842E-02  3.000000E+00  -4.967688E+02  -1.755250E+03  -2.178844E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.251266E+02  1.685432E+03  1.303683E+02  9.999082E-01  -8.845559E-04  -1.351872E-02  -1.768957E-04  -9.986336E-01  5.225850E-02  1.354647E-02  5.225131E-02  9.985421E-01  
84  6.393842E-01  -6.393842E-02  3.000000E+00  -4.973918E+02  -1.757451E+03  -1.759111E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.251135E+02  1.686804E+03  1.379227E+02  9.999219E-01  -8.287455E-04  -1.246989E-02  -1.761633E-04  -9.986344E-01  5.224299E-02  1.249615E-02  5.223672E-02  9.985565E-01  
65  6.393842E-01  -6.393842E-02  3.000000E+00  3.930940E+02  1.388932E+03  4.067316E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250336E+02  1.327390E+03  1.340752E+02  9.998586E-01  -1.438501E-03  1.675239E-02  3.180157E-04  9.977733E-01  6.669656E-02  1.681103E-02  6.668180E-02  -9.976327E-01  
34  6.393842E-01  -6.393842E-02  3.000000E+00  4.983125E+02  1.760704E+03  2.306086E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.251076E+02  1.685912E+03  1.280082E+02  9.993429E-01  -2.104288E-03  3.618405E-02  2.063959E-04  9.986275E-01  5.237498E-02  3.624460E-02  5.233310E-02  -9.979717E-01  
8  6.393842E-01  -6.393842E-02  3.000000E+00  -3.569859E+02  -1.261350E+03  -6.517436E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250047E+02  1.210395E+03  1.224717E+02  9.988796E-01  3.181758E-03  4.721676E-02  -2.745206E-04  -9.973309E-01  7.301386E-02  -4.732305E-02  7.294501E-02  9.962126E-01  
67  6.393842E-01  -6.393842E-02  3.000000E+00  3.132666E+02  1.106875E+03  8.875447E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250059E+02  1.059663E+03  1.079963E+02  9.999406E-01  4.475506E-04  -1.088744E-02  4.643838E-04  9.964981E-01  8.361372E-02  1.088674E-02  -8.361381E-02  9.964388E-01  
49  6.393842E-01  -6.393842E-02  3.000000E+00  3.973849E+02  1.404093E+03  2.901665E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250205E+02  1.338065E+03  1.367606E+02  9.999496E-01  -9.796863E-04  9.991066E-03  3.181769E-04  9.978197E-01  6.599791E-02  1.003394E-02  6.599141E-02  -9.977697E-01  
86  6.393842E-01  -6.393842E-02  3.000000E+00  -4.928918E+02  -1.741551E+03  -1.817683E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250556E+02  1.667904E+03  1.631673E+02  9.999985E-01  -2.465996E-04  -1.705878E-03  -1.560251E-04  -9.986002E-01  5.289334E-02  1.716533E-03  5.289299E-02  9.985987E-01  
