#  index  lambda  kappa  tanbeta   mu/GeV  Alam/GeV  Akap/GeV  DeltaLambda2  M1  M2  mh125/GeV  mH/GeV  mhS/GeV  C_h125^SM  C_h125^NSM  C_h125^S  C_H^SM  C_H^NSM  C_H^S  C_hS^SM  C_hS^NSM  C_hS^S  failFlag
38  6.393842E-01  -6.393842E-02  3.000000E+00  3.377627E+02  1.193428E+03  -3.371234E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249974E+02  1.142766E+03  1.305298E+02  9.995848E-01  -2.654683E-03  2.869102E-02  4.142115E-04  9.969677E-01  7.781505E-02  2.881060E-02  7.777086E-02  -9.965549E-01  1
63  6.393842E-01  -6.393842E-02  3.000000E+00  -2.394644E+02  -8.461075E+02  6.451447E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249759E+02  8.138659E+02  1.112488E+02  9.999308E-01  6.997565E-04  1.174185E-02  -5.908335E-04  -9.939809E-01  1.095515E-01  -1.174783E-02  1.095509E-01  9.939118E-01  1
58  6.393842E-01  -6.393842E-02  3.000000E+00  -3.520688E+02  -1.243976E+03  8.126978E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250034E+02  1.194850E+03  1.409711E+02  9.999804E-01  -7.359864E-04  -6.220972E-03  -2.716534E-04  -9.972349E-01  7.431366E-02  6.258464E-03  7.431052E-02  9.972155E-01  1
23  6.393842E-01  -6.393842E-02  3.000000E+00  3.547505E+02  1.253452E+03  -7.132022E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250149E+02  1.200466E+03  1.396425E+02  9.999541E-01  -1.054441E-03  9.527718E-03  3.452185E-04  9.972482E-01  7.413491E-02  9.579670E-03  7.412821E-02  -9.972027E-01  1
77  6.393842E-01  -6.393842E-02  3.000000E+00  -1.825336E+02  -6.449521E+02  1.818439E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250006E+02  6.217483E+02  9.379976E+01  9.999652E-01  2.665887E-04  8.340291E-03  -9.367151E-04  -9.895861E-01  1.439392E-01  -8.291808E-03  1.439420E-01  9.895514E-01  1
13  6.393842E-01  -6.393842E-02  3.000000E+00  -4.563308E+02  -1.612369E+03  8.847785E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250454E+02  1.548241E+03  1.686848E+02  9.999976E-01  -3.123655E-04  -2.152006E-03  -1.886051E-04  -9.983586E-01  5.727132E-02  2.166363E-03  5.727078E-02  9.983563E-01  1
6  6.393842E-01  -6.393842E-02  3.000000E+00  -4.906983E+02  -1.733801E+03  1.382256E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249998E+02  1.666123E+03  1.848218E+02  9.999997E-01  -1.717591E-04  -8.002284E-04  -1.288635E-04  -9.985786E-01  5.329908E-02  8.082456E-04  5.329895E-02  9.985783E-01  1
27  6.393842E-01  -6.393842E-02  3.000000E+00  3.589964E+02  1.268454E+03  -9.422187E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249935E+02  1.214881E+03  1.437123E+02  9.999689E-01  -9.364581E-04  7.831479E-03  3.598606E-04  9.973095E-01  7.330533E-02  7.879055E-03  7.330023E-02  -9.972788E-01  1
75  6.393842E-01  -6.393842E-02  3.000000E+00  -2.382150E+02  -8.416930E+02  -4.132117E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250252E+02  8.077830E+02  9.888280E+01  9.999737E-01  1.660597E-04  7.256332E-03  -6.308574E-04  -9.939664E-01  1.096833E-01  -7.230764E-03  1.096850E-01  9.939401E-01  1
48  6.393842E-01  -6.393842E-02  3.000000E+00  4.231501E+02  1.495130E+03  -1.348022E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249909E+02  1.432087E+03  1.654954E+02  9.999941E-01  -4.830779E-04  3.403084E-03  2.705115E-04  9.980644E-01  6.218856E-02  3.426539E-03  6.218728E-02  -9.980586E-01  1
55  6.393842E-01  -6.393842E-02  3.000000E+00  -3.906722E+02  -1.380375E+03  9.142315E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249623E+02  1.325696E+03  1.524100E+02  9.999945E-01  -4.120161E-04  -3.305249E-03  -1.898389E-04  -9.977570E-01  6.694019E-02  3.325416E-03  6.693919E-02  9.977515E-01  1
15  6.393842E-01  -6.393842E-02  3.000000E+00  -4.200942E+02  -1.484333E+03  9.382819E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250061E+02  1.425704E+03  1.598771E+02  9.999945E-01  -4.410574E-04  -3.274555E-03  -2.364332E-04  -9.980619E-01  6.222851E-02  3.295655E-03  6.222740E-02  9.980566E-01  1
82  6.393842E-01  -6.393842E-02  3.000000E+00  4.961390E+02  1.753024E+03  4.723972E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.248641E+02  1.679174E+03  6.607627E+01  9.999936E-01  -4.109868E-06  -3.591064E-03  1.920916E-04  9.986289E-01  5.234830E-02  -3.585925E-03  5.234865E-02  -9.986224E-01  1
92  6.393842E-01  -6.393842E-02  3.000000E+00  1.025585E+02  3.623734E+02  3.072015E+00  1.191925E-01  1.000000E+03  1.000000E+03  1.250018E+02  3.545337E+02  7.596494E+01  -9.999405E-01  7.165831E-04  1.088584E-02  -3.514534E-03  -9.658015E-01  -2.592586E-01  1.032778E-02  -2.592815E-01  9.657466E-01  1
